title,company,location,remote,salary,skills
Senior Full stack React Developer,Lemon.io,Remote,Yes,0,"Python, R, Machine Learning, AI, Data Analysis, AWS, Azure"
Virtual Real Estate Sales Representative,aurelian sovereign,Remote,Yes,0,"R, AI"
Network Engineer Factory Systems and Operational Technology,Anduril Industries,Remote,Yes,0,"R, AI"
Bookkeeping Specialist,Velora,Remote,Yes,0,"R, AI"
ML Engineer,"Trunk Tools, Inc.",Remote,Yes,0,"Python, R, AI"
Software Engineer,Finalis,Remote,Yes,0,"Excel, R, AI, AWS, Azure"
Managing Director New England,IntraFi,Remote,Yes,0,"Excel, R, AI"
Tax AI Expert,Weekday,Remote,Yes,0,"Python, SQL, Excel, R, Machine Learning, AI, Analytics, AWS"
Director of Revenue Operations,Practice Better,Remote,Yes,0,"R, AI"
Regional Sales Executive,Pivotal Health,Remote,Yes,0,"R, AI, AWS"
Territory Account Manager,TENEX.AI,Remote,Yes,0,"R, AI, AWS"
HQ AI Enablement Lead,Everfield,Remote,Yes,0,"R, AI, Azure"
Medical Director for Health Plan,Evry Health,Remote,Yes,0,"Excel, R, AI"
Vice President of Marketing,Pine Services Group,Remote,Yes,0,"R, AI, Dashboard"
Technical Account Manager,Clariti Cloud Inc.,Remote,Yes,0,R
Implementation Specialist,Submittable,Remote,Yes,0,"R, AI"
Proposal Manager @Advizex,Advizex,Remote,Yes,0,"R, AI"
B2B Marketing Manager,Montu UK,Remote,Yes,0,"Excel, R, AI"
Senior Tech Lead Mobile Developer Risora,SKELAR,Remote,Yes,0,"SQL, R, AI, AWS"
Full Stack Product Engineer,Pivotal Health,Remote,Yes,0,"Python, SQL, R, AI, AWS"
WorkWave Senior Data Analytics Engineer,WorkWave,Remote,Yes,0,"R, AI, Analytics"
Paid Media Manager,Terra,Remote,Yes,0,"R, AI"
Registered Clinical Social Work Intern Spanish Speaking,Brave Health,Remote,Yes,0,"R, AI"
Saint Gobain Application Sales Director,GML A/S,Remote,Yes,0,"Excel, R, AI"
Trainer EMEA,360Learning,Remote,Yes,0,"Excel, R, AI, AWS"
Data Engineer,Pivotal Health,Remote,Yes,0,"Python, SQL, Power BI, Tableau, R, AI, Analytics, Dashboard, BigQuery, Snowflake, AWS, ETL"
Overnight Neuroradiologist Partner Track 10p 7a MST 7 on 14 off,Diversified Radiology,Remote,Yes,0,"Excel, R, AI"
Full Stack Developer,Envision Horizons LLC,Remote,Yes,0,"SQL, R, AI, Analytics"
TEST JOB,Fleetio,Remote,Yes,0,"R, AI"
Bilingual Legal Personal Injury,Distro,Remote,Yes,0,"R, AI"
Controller,MissionWired,Remote,Yes,0,"Excel, R, AI"
Neurologist TX Licensed BC PT FT Fully Virtual,TeleMed2U,Remote,Yes,0,R
Senior Account Executive Publishers,Zeta Global,Remote,Yes,0,"R, AI"
Strategy & Operations,TLDR,Remote,Yes,0,"SQL, R, AI, AWS"
Applied AI Engineer Europe,Amigo,Remote,Yes,0,"Python, Excel, R, AI"
UX UI Designer â AI Application,0g Labs,Remote,Yes,0,"R, AI"
Corporate Counsel,May Mobility,Remote,Yes,0,"R, AI"
Bookkeeper,Vidinext,Remote,Yes,0,"R, AI"
Mid Senior AI Video Artist,EverAI,Remote,Yes,0,"Excel, R, AI, AWS"
Account Executive III,Sumo Logic,Remote,Yes,0,"R, AI, Analytics"
Senior Director Sales and Operations Planning,OLLY,Remote,Yes,0,"Excel, R, AI"
VP Creative Director,Noodle,Remote,Yes,0,"Excel, R, AI, Analytics"
Associate Director Solutions,YipitData (Alternative),Remote,Yes,0,"R, AI, Analytics"
Technical Program Manager â Platform Migration,Cayuse,Remote,Yes,0,"R, AI"
Principal Customer Solutions Architect,Caylent,Remote,Yes,0,"R, AI, AWS"
Senior Security Engineer,Bridgewater Associates,Remote,Yes,0,"Excel, R, AI"
Business Development Director,Connections Health Solutions,Remote,Yes,0,"R, AI"
Insurance Verifications Specialist,Cranial Technologies,Remote,Yes,0,"R, AI"
Frontend Engineer,CareerVillage.org,Remote,Yes,0,"R, AI"
Healthcare Account Executive,Vonage,Remote,Yes,0,R
Senior CAD Backend Engineer Mechanical CAD Automation,Foundation EGI,Remote,Yes,0,"Python, SQL, Excel, R, AI"
Solution Engineer I,"Onit, Inc.",Remote,Yes,0,"Excel, R, AI"
Senior Data Engineer,Capnexus,Remote,Yes,0,"R, AI, AWS, ETL"
Senior App &amp; Frontend Developer AS233,Smart Working Solutions,Remote,Yes,0,"Python, SQL, Excel, R, AI, Analytics, Dashboard, Looker, BigQuery, ETL, Business Intelligence"
Provider Services Analyst I,Trend Health Partners,Remote,Yes,0,"R, AI"
PPC & Amazon Strategist,Trivium,Remote,Yes,0,"Excel, R, AI, Analytics"
Data Scientist,Junction,Remote,Yes,0,"Python, SQL, R, AI, Analytics, Dashboard"
Shift Lead Downtown,DoorDash USA,Remote,Yes,0,"Excel, R, AI"
Senior Site Reliability Engineer,Pave Bank,Remote,Yes,0,"Python, R, AI"
Principal Product Manager,Oportun,Remote,Yes,0,"R, AI"
High Paying Hourly Enrollment Specialist,VP Education Group,Remote,Yes,0,"R, AI"
Search Engine Evaluation Specialist Freelance AI Trainer Project,Invisible Agency,Remote,Yes,0,"R, AI"
Senior Security Engineer Vulnerability & Exposure Management,Bridgewater Associates Referrals,Remote,Yes,0,"Excel, R"
Partner Sales Manager,Prophecy,Remote,Yes,0,"R, AI, Snowflake"
Associate Product Manager,Automox,Remote,Yes,0,"R, AI"
Director Human Resources,Cordance,Remote,Yes,0,R
Senior Software Engineer Payments & Monetization,Mighty Networks,Remote,Yes,0,"Power BI, R, AI"
Senior Lead Applied Data Scientist,StyleSeat,Remote,Yes,0,"R, AI"
Senior Cloud Engineer,DV Trading,Remote,Yes,0,"R, AI"
Senior Account Manager,Keyloop,Remote,Yes,0,"Excel, R, AI"
Manager Digital Media Strategy,"Adswerve, Inc",Remote,Yes,0,"R, AI, Analytics"
Digital Media Strategist,"Adswerve, Inc",Remote,Yes,0,"R, AI, Analytics"
Product Growth Marketer,Happily,Remote,Yes,0,"R, AI, Analytics, Dashboard"
Crypto Trader,Fox GLobal Assets,Remote,Yes,0,"R, AI"
Software Engineer Identity & Access,Patreon,Remote,Yes,0,"Python, R, AI"
Technical Implementations Lead US,Smile Digital Health,Remote,Yes,0,"Python, SQL, Excel, R, AWS, Azure"
Manager Healthcare Data Analytics,Habitat Health,Remote,Yes,0,"R, AI, Analytics"
Account Executive Collections Credit Card,BHG Financial,Remote,Yes,0,"R, AI, AWS"
Sr Technical Program Manager Order Management Services,Natera,Remote,Yes,0,"Excel, R, AI"
Manager Care Team Assistant,Imagine Pediatrics,Remote,Yes,0,R
Senior Product Manager Applied AI,Smartsheet,Remote,Yes,0,"R, AI"
Revenue Specialist First Party Auto MVA,EnableComp,Remote,Yes,0,"Excel, R, AI"
SVP Sales,InMarket,Remote,Yes,0,"Excel, R, AI"
Senior Technical Lead,Calibrate Group AI,Remote,Yes,0,"R, AI"
Product Engineer,SuperPlane,Remote,Yes,0,"Excel, R, AI"
Software Engineer Android,Superhuman,Remote,Yes,0,"R, Machine Learning, AI"
Product Manager Data Platform,Spotify,Remote,Yes,0,"R, AI"
Senior EDI e invoicing Integration Engineer with English and German French Italian Chinese,ecosio,Remote,Yes,0,"R, AI"
Field Marketing Manager,Brandwatch,Remote,Yes,0,"R, AI"
Creative Strategist,Maneuver Marketing,Remote,Yes,0,"R, AI"
Data Analyst,Criptoro,Remote,Yes,0,"Python, SQL, Excel, Power BI, Tableau, Pandas, R, AI, Analytics, Data Analysis, Statistics, Dashboard"
